Dim,Method,Value,Time
8,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",21,0.9
10,"tabu_swap_neighbors, local_search, make_change_swap",76,0.94
10,"tabu_swap_neighbors, local_search, make_change_scramble",76,1.35
10,"tabu_swap_neighbors, local_search, make_change_inverse",76,0.93
10,"tabu_swap_neighbors, simulated_annealing, make_change_swap",76,0.98
10,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",76,1.46
10,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",76,1.01
10,"tabu_inverse, local_search, make_change_swap",76,0.95
10,"tabu_inverse, local_search, make_change_scramble",76,1.38
10,"tabu_inverse, local_search, make_change_inverse",76,1.03
10,"tabu_inverse, simulated_annealing, make_change_swap",76,0.98
10,"tabu_inverse, simulated_annealing, make_change_scramble",76,1.42
10,"tabu_inverse, simulated_annealing, make_change_inverse",76,1.03
10,"tabu_inverse_complete, local_search, make_change_swap",76,1.34
10,"tabu_inverse_complete, local_search, make_change_scramble",76,1.74
10,"tabu_inverse_complete, local_search, make_change_inverse",76,1.35
10,"tabu_inverse_complete, simulated_annealing, make_change_swap",76,1.45
10,"tabu_inverse_complete, simulated_annealing, make_change_scramble",76,1.85
10,"tabu_inverse_complete, simulated_annealing, make_change_inverse",76,1.47
10,"tabu_scramble, local_search, make_change_swap",76,1.41
10,"tabu_scramble, local_search, make_change_scramble",76,1.88
10,"tabu_scramble, local_search, make_change_inverse",76,1.46
10,"tabu_scramble, simulated_annealing, make_change_swap",76,1.51
10,"tabu_scramble, simulated_annealing, make_change_scramble",76,1.94
10,"tabu_scramble, simulated_annealing, make_change_inverse",76,1.51
10,"tabu_scramble_continuous, local_search, make_change_swap",76,1.76
10,"tabu_scramble_continuous, local_search, make_change_scramble",76,1.95
10,"tabu_scramble_continuous, local_search, make_change_inverse",76,1.6
10,"tabu_scramble_continuous, simulated_annealing, make_change_swap",76,1.94
10,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",76,2.25
10,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",76,1.63
11,"tabu_swap_neighbors, local_search, make_change_swap",59,0.86
11,"tabu_swap_neighbors, local_search, make_change_scramble",59,1.44
11,"tabu_swap_neighbors, local_search, make_change_inverse",61,1.02
11,"tabu_swap_neighbors, simulated_annealing, make_change_swap",59,1.06
11,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",59,1.49
11,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",59,1.09
11,"tabu_inverse, local_search, make_change_swap",59,0.96
11,"tabu_inverse, local_search, make_change_scramble",59,1.42
11,"tabu_inverse, local_search, make_change_inverse",59,0.99
11,"tabu_inverse, simulated_annealing, make_change_swap",59,1.03
11,"tabu_inverse, simulated_annealing, make_change_scramble",61,1.45
11,"tabu_inverse, simulated_annealing, make_change_inverse",59,1.07
11,"tabu_inverse_complete, local_search, make_change_swap",59,1.79
11,"tabu_inverse_complete, local_search, make_change_scramble",59,2.25
11,"tabu_inverse_complete, local_search, make_change_inverse",59,1.84
11,"tabu_inverse_complete, simulated_annealing, make_change_swap",59,1.88
11,"tabu_inverse_complete, simulated_annealing, make_change_scramble",59,2.19
11,"tabu_inverse_complete, simulated_annealing, make_change_inverse",59,1.98
11,"tabu_scramble, local_search, make_change_swap",59,1.78
11,"tabu_scramble, local_search, make_change_scramble",59,2.36
11,"tabu_scramble, local_search, make_change_inverse",61,1.78
11,"tabu_scramble, simulated_annealing, make_change_swap",59,1.99
11,"tabu_scramble, simulated_annealing, make_change_scramble",59,2.32
11,"tabu_scramble, simulated_annealing, make_change_inverse",59,2.12
11,"tabu_scramble_continuous, local_search, make_change_swap",59,1.92
11,"tabu_scramble_continuous, local_search, make_change_scramble",59,2.51
11,"tabu_scramble_continuous, local_search, make_change_inverse",59,2.02
11,"tabu_scramble_continuous, simulated_annealing, make_change_swap",59,2.14
11,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",59,2.58
11,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",59,2.08
15,"tabu_swap_neighbors, local_search, make_change_swap",125,1.31
15,"tabu_swap_neighbors, local_search, make_change_scramble",125,2.06
15,"tabu_swap_neighbors, local_search, make_change_inverse",128,1.55
15,"tabu_swap_neighbors, simulated_annealing, make_change_swap",127,1.58
15,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",127,2.28
15,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",125,1.65
15,"tabu_inverse, local_search, make_change_swap",125,1.62
15,"tabu_inverse, local_search, make_change_scramble",125,2.16
15,"tabu_inverse, local_search, make_change_inverse",125,1.64
15,"tabu_inverse, simulated_annealing, make_change_swap",125,1.67
15,"tabu_inverse, simulated_annealing, make_change_scramble",125,2.22
15,"tabu_inverse, simulated_annealing, make_change_inverse",125,1.78
15,"tabu_inverse_complete, local_search, make_change_swap",125,3.3
15,"tabu_inverse_complete, local_search, make_change_scramble",125,3.77
15,"tabu_inverse_complete, local_search, make_change_inverse",125,3.24
15,"tabu_inverse_complete, simulated_annealing, make_change_swap",125,3.23
15,"tabu_inverse_complete, simulated_annealing, make_change_scramble",127,3.81
15,"tabu_inverse_complete, simulated_annealing, make_change_inverse",125,3.47
15,"tabu_scramble, local_search, make_change_swap",125,3.65
15,"tabu_scramble, local_search, make_change_scramble",125,3.95
15,"tabu_scramble, local_search, make_change_inverse",127,3.76
15,"tabu_scramble, simulated_annealing, make_change_swap",125,3.6
15,"tabu_scramble, simulated_annealing, make_change_scramble",127,4.63
15,"tabu_scramble, simulated_annealing, make_change_inverse",125,3.73
15,"tabu_scramble_continuous, local_search, make_change_swap",142,5.0
15,"tabu_scramble_continuous, local_search, make_change_scramble",125,4.82
15,"tabu_scramble_continuous, local_search, make_change_inverse",127,5.46
15,"tabu_scramble_continuous, simulated_annealing, make_change_swap",125,4.79
15,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",125,5.64
15,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",125,5.18
20,"tabu_swap_neighbors, local_search, make_change_swap",515,3.48
20,"tabu_swap_neighbors, local_search, make_change_scramble",527,4.24
20,"tabu_swap_neighbors, local_search, make_change_inverse",515,3.51
20,"tabu_swap_neighbors, simulated_annealing, make_change_swap",497,3.33
20,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",515,4.26
20,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",497,3.63
20,"tabu_inverse, local_search, make_change_swap",497,3.76
20,"tabu_inverse, local_search, make_change_scramble",510,4.51
20,"tabu_inverse, local_search, make_change_inverse",516,3.77
20,"tabu_inverse, simulated_annealing, make_change_swap",506,3.61
20,"tabu_inverse, simulated_annealing, make_change_scramble",497,4.57
20,"tabu_inverse, simulated_annealing, make_change_inverse",497,3.39
20,"tabu_inverse_complete, local_search, make_change_swap",515,10.89
20,"tabu_inverse_complete, local_search, make_change_scramble",516,11.74
20,"tabu_inverse_complete, local_search, make_change_inverse",497,11.03
20,"tabu_inverse_complete, simulated_annealing, make_change_swap",497,10.94
20,"tabu_inverse_complete, simulated_annealing, make_change_scramble",497,11.79
20,"tabu_inverse_complete, simulated_annealing, make_change_inverse",497,10.87
20,"tabu_scramble, local_search, make_change_swap",506,11.57
20,"tabu_scramble, local_search, make_change_scramble",497,12.28
20,"tabu_scramble, local_search, make_change_inverse",497,11.68
20,"tabu_scramble, simulated_annealing, make_change_swap",497,12.05
