Dim,Method,Value,Time
33,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",2127,1.27
33,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",2126,1.32
38,"tournament_selection, pmx_crossover, mutation_swap",3633,0.79
38,"tournament_selection, pmx_crossover, mutation_inverse",3754,0.79
38,"tournament_selection, pmx_crossover, mutation_scramble",3605,0.83
38,"tournament_selection, ordered_crossover, mutation_swap",3655,0.79
38,"tournament_selection, ordered_crossover, mutation_inverse",3595,0.81
38,"tournament_selection, ordered_crossover, mutation_scramble",3642,0.81
38,"rank_selection, pmx_crossover, mutation_swap",3559,0.85
38,"rank_selection, pmx_crossover, mutation_inverse",3639,0.84
38,"rank_selection, pmx_crossover, mutation_scramble",3645,0.89
38,"rank_selection, ordered_crossover, mutation_swap",3555,0.82
38,"rank_selection, ordered_crossover, mutation_inverse",3584,0.85
38,"rank_selection, ordered_crossover, mutation_scramble",3630,0.86
38,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",3654,0.87
38,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",3681,0.9
38,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",3645,0.93
38,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",3628,0.91
38,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",3710,0.9
38,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",3597,0.94
12,"tournament_selection, pmx_crossover, mutation_swap",241,0.17
12,"tournament_selection, pmx_crossover, mutation_inverse",241,0.18
12,"tournament_selection, pmx_crossover, mutation_scramble",241,0.17
12,"tournament_selection, ordered_crossover, mutation_swap",241,0.15
12,"tournament_selection, ordered_crossover, mutation_inverse",241,0.17
12,"tournament_selection, ordered_crossover, mutation_scramble",241,0.16
12,"rank_selection, pmx_crossover, mutation_swap",241,0.18
12,"rank_selection, pmx_crossover, mutation_inverse",241,0.18
12,"rank_selection, pmx_crossover, mutation_scramble",241,0.21
12,"rank_selection, ordered_crossover, mutation_swap",241,0.18
12,"rank_selection, ordered_crossover, mutation_inverse",241,0.18
12,"rank_selection, ordered_crossover, mutation_scramble",241,0.19
12,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",241,0.25
12,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",241,0.26
12,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",241,0.25
12,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",241,0.25
12,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",241,0.25
12,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",241,0.25
16,"tournament_selection, pmx_crossover, mutation_swap",560,0.23
16,"tournament_selection, pmx_crossover, mutation_inverse",560,0.25
16,"tournament_selection, pmx_crossover, mutation_scramble",560,0.24
16,"tournament_selection, ordered_crossover, mutation_swap",560,0.24
16,"tournament_selection, ordered_crossover, mutation_inverse",560,0.24
16,"tournament_selection, ordered_crossover, mutation_scramble",560,0.24
16,"rank_selection, pmx_crossover, mutation_swap",560,0.27
16,"rank_selection, pmx_crossover, mutation_inverse",560,0.26
16,"rank_selection, pmx_crossover, mutation_scramble",566,0.27
16,"rank_selection, ordered_crossover, mutation_swap",560,0.26
16,"rank_selection, ordered_crossover, mutation_inverse",560,0.26
16,"rank_selection, ordered_crossover, mutation_scramble",560,0.26
16,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",560,0.32
16,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",560,0.33
16,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",568,0.33
16,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",560,0.33
16,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",560,0.33
16,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",568,0.34
17,"tournament_selection, pmx_crossover, mutation_swap",667,0.26
17,"tournament_selection, pmx_crossover, mutation_inverse",667,0.25
17,"tournament_selection, pmx_crossover, mutation_scramble",667,0.26
17,"tournament_selection, ordered_crossover, mutation_swap",667,0.26
17,"tournament_selection, ordered_crossover, mutation_inverse",673,0.25
17,"tournament_selection, ordered_crossover, mutation_scramble",667,0.26
17,"rank_selection, pmx_crossover, mutation_swap",667,0.29
17,"rank_selection, pmx_crossover, mutation_inverse",667,0.28
17,"rank_selection, pmx_crossover, mutation_scramble",667,0.3
17,"rank_selection, ordered_crossover, mutation_swap",667,0.28
17,"rank_selection, ordered_crossover, mutation_inverse",667,0.31
17,"rank_selection, ordered_crossover, mutation_scramble",673,0.31
17,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",667,0.35
17,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",667,0.36
17,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",667,0.36
17,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",667,0.34
17,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",667,0.37
17,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",680,0.36
23,"tournament_selection, pmx_crossover, mutation_swap",1582,0.43
23,"tournament_selection, pmx_crossover, mutation_inverse",1581,0.43
23,"tournament_selection, pmx_crossover, mutation_scramble",1581,0.43
23,"tournament_selection, ordered_crossover, mutation_swap",1581,0.42
23,"tournament_selection, ordered_crossover, mutation_inverse",1600,0.42
23,"tournament_selection, ordered_crossover, mutation_scramble",1581,0.45
23,"rank_selection, pmx_crossover, mutation_swap",1600,0.46
23,"rank_selection, pmx_crossover, mutation_inverse",1581,0.46
23,"rank_selection, pmx_crossover, mutation_scramble",1582,0.48
23,"rank_selection, ordered_crossover, mutation_swap",1600,0.47
23,"rank_selection, ordered_crossover, mutation_inverse",1600,0.49
23,"rank_selection, ordered_crossover, mutation_scramble",1581,0.49
23,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",1581,0.52
23,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",1619,0.52
23,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",1581,0.54
23,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",1581,0.52
23,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",1581,0.53
23,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",1609,0.54
30,"tournament_selection, pmx_crossover, mutation_swap",3416,0.71
30,"tournament_selection, pmx_crossover, mutation_inverse",3424,0.71
30,"tournament_selection, pmx_crossover, mutation_scramble",3416,0.76
30,"tournament_selection, ordered_crossover, mutation_swap",3416,0.72
30,"tournament_selection, ordered_crossover, mutation_inverse",3416,0.71
30,"tournament_selection, ordered_crossover, mutation_scramble",3416,0.74
30,"rank_selection, pmx_crossover, mutation_swap",3417,0.75
30,"rank_selection, pmx_crossover, mutation_inverse",3445,0.75
30,"rank_selection, pmx_crossover, mutation_scramble",3564,0.8
30,"rank_selection, ordered_crossover, mutation_swap",3542,0.74
30,"rank_selection, ordered_crossover, mutation_inverse",3455,0.76
30,"rank_selection, ordered_crossover, mutation_scramble",3416,0.79
30,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",3416,0.8
30,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",3507,0.81
30,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",3416,0.83
30,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",3416,0.82
30,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",3418,0.83
30,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",3416,0.85
8,"tournament_selection, pmx_crossover, mutation_swap",21,0.23
8,"tournament_selection, pmx_crossover, mutation_inverse",21,0.2
8,"tournament_selection, pmx_crossover, mutation_scramble",21,0.19
8,"tournament_selection, ordered_crossover, mutation_swap",21,0.17
8,"tournament_selection, ordered_crossover, mutation_inverse",21,0.26
8,"tournament_selection, ordered_crossover, mutation_scramble",21,0.13
8,"rank_selection, pmx_crossover, mutation_swap",21,0.18
8,"rank_selection, pmx_crossover, mutation_inverse",21,0.18
8,"rank_selection, pmx_crossover, mutation_scramble",21,0.23
8,"rank_selection, ordered_crossover, mutation_swap",21,0.23
8,"rank_selection, ordered_crossover, mutation_inverse",21,0.23
8,"rank_selection, ordered_crossover, mutation_scramble",21,0.23
8,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",21,0.34
8,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",21,0.35
8,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",21,0.35
8,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",21,0.33
8,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",21,0.34
8,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",21,0.35
