Dim,Method,Value,Time
17,"shaking_swap, make_change_inverse, local_search",667,1.34
17,"shaking_swap, make_change_inverse, local_search_with_permutation",667,3.57
17,"shaking_swap, make_change_scramble, local_search",667,1.58
17,"shaking_swap, make_change_scramble, local_search_with_permutation",667,3.76
17,"shaking_inverse, make_change_swap, local_search",667,1.63
17,"shaking_inverse, make_change_swap, local_search_with_permutation",667,4.45
17,"shaking_inverse, make_change_inverse, local_search",668,1.68
17,"shaking_inverse, make_change_inverse, local_search_with_permutation",667,4.37
17,"shaking_inverse, make_change_scramble, local_search",669,1.93
17,"shaking_inverse, make_change_scramble, local_search_with_permutation",667,4.61
23,"shaking_swap, make_change_swap, local_search",1589,2.45
23,"shaking_swap, make_change_swap, local_search_with_permutation",1586,6.84
23,"shaking_swap, make_change_inverse, local_search",1605,2.44
23,"shaking_swap, make_change_inverse, local_search_with_permutation",1582,7.13
23,"shaking_swap, make_change_scramble, local_search",1604,2.75
23,"shaking_swap, make_change_scramble, local_search_with_permutation",1587,7.23
23,"shaking_inverse, make_change_swap, local_search",1589,4.25
23,"shaking_inverse, make_change_swap, local_search_with_permutation",1607,11.63
23,"shaking_inverse, make_change_inverse, local_search",1583,4.24
23,"shaking_inverse, make_change_inverse, local_search_with_permutation",1583,11.92
23,"shaking_inverse, make_change_scramble, local_search",1584,4.77
23,"shaking_inverse, make_change_scramble, local_search_with_permutation",1582,12.26
30,"shaking_swap, make_change_swap, local_search",3429,6.53
30,"shaking_swap, make_change_swap, local_search_with_permutation",3439,17.68
30,"shaking_swap, make_change_inverse, local_search",3439,6.57
30,"shaking_swap, make_change_inverse, local_search_with_permutation",3450,18.67
30,"shaking_swap, make_change_scramble, local_search",3424,7.12
30,"shaking_swap, make_change_scramble, local_search_with_permutation",3426,18.58
30,"shaking_inverse, make_change_swap, local_search",3425,9.78
30,"shaking_inverse, make_change_swap, local_search_with_permutation",3420,26.37
30,"shaking_inverse, make_change_inverse, local_search",3416,9.8
30,"shaking_inverse, make_change_inverse, local_search_with_permutation",3420,26.31
30,"shaking_inverse, make_change_scramble, local_search",3418,10.64
30,"shaking_inverse, make_change_scramble, local_search_with_permutation",3419,27.32
8,"shaking_swap, make_change_swap, local_search",21,0.27
8,"shaking_swap, make_change_swap, local_search_with_permutation",21,0.92
8,"shaking_swap, make_change_inverse, local_search",21,0.26
8,"shaking_swap, make_change_inverse, local_search_with_permutation",21,0.64
8,"shaking_swap, make_change_scramble, local_search",21,0.47
8,"shaking_swap, make_change_scramble, local_search_with_permutation",21,1.0
8,"shaking_inverse, make_change_swap, local_search",21,0.27
8,"shaking_inverse, make_change_swap, local_search_with_permutation",21,0.86
8,"shaking_inverse, make_change_inverse, local_search",21,0.28
8,"shaking_inverse, make_change_inverse, local_search_with_permutation",21,0.87
8,"shaking_inverse, make_change_scramble, local_search",21,0.41
8,"shaking_inverse, make_change_scramble, local_search_with_permutation",21,0.98
